nohup: ignoring input
part 1035: 64405 rows
part 1036: 64668 rows
part 1037: 64548 rows
part 1038: 64485 rows
part 1039: 64322 rows
part 1040: 64584 rows
part 1041: 64673 rows
part 1042: 64474 rows
part 1043: 64568 rows
part 1044: 64373 rows
part 1045: 64592 rows
part 1046: 64766 rows
part 1047: 64494 rows
part 1048: 64144 rows
part 1049: 64491 rows
part 1050: 64272 rows
part 1051: 64686 rows
part 1052: 64628 rows
part 1053: 64070 rows
part 1054: 64476 rows
part 1055: 64430 rows
part 1056: 64199 rows
part 1057: 64818 rows
part 1058: 64476 rows
part 1059: 64515 rows
part 1060: 64364 rows
part 1061: 64508 rows
part 1062: 64381 rows
part 1063: 64472 rows
part 1064: 64658 rows
part 1065: 64485 rows
part 1066: 64255 rows
part 1067: 64239 rows
part 1068: 64302 rows
part 1069: 64464 rows
part 1070: 64613 rows
part 1071: 64831 rows
part 1072: 64661 rows
part 1073: 64353 rows
part 1074: 64365 rows
part 1075: 64465 rows
part 1076: 64686 rows
part 1077: 64824 rows
part 1078: 64920 rows
part 1079: 64599 rows
part 1080: 64637 rows
part 1081: 64987 rows
part 1082: 64489 rows
part 1083: 64103 rows
part 1084: 64559 rows
part 1085: 64246 rows
part 1086: 64445 rows
part 1087: 63984 rows
part 1088: 64300 rows
part 1089: 64781 rows
part 1090: 64174 rows
part 1091: 64490 rows
part 1092: 64608 rows
part 1093: 64650 rows
part 1094: 64451 rows
part 1095: 63931 rows
part 1096: 64321 rows
part 1097: 64596 rows
part 1098: 64528 rows
part 1099: 64977 rows
part 1100: 64172 rows
part 1101: 64568 rows
part 1102: 64298 rows
part 1103: 64267 rows
part 1104: 64538 rows
part 1105: 64337 rows
part 1106: 64388 rows
part 1107: 64375 rows
part 1108: 64466 rows
part 1109: 64243 rows
part 1110: 64804 rows
part 1111: 64429 rows
part 1112: 64339 rows
part 1113: 64058 rows
part 1114: 64210 rows
part 1115: 64371 rows
part 1116: 64299 rows
part 1117: 64104 rows
part 1118: 64560 rows
part 1119: 64813 rows
part 1120: 64860 rows
part 1121: 64935 rows
part 1122: 64521 rows
part 1123: 64026 rows
part 1124: 64263 rows
part 1125: 65034 rows
part 1126: 64386 rows
part 1127: 64477 rows
part 1128: 64497 rows
part 1129: 65043 rows
part 1130: 64662 rows
part 1131: 64874 rows
part 1132: 63983 rows
part 1133: 64748 rows
part 1134: 64445 rows
part 1135: 64258 rows
part 1136: 64774 rows
part 1137: 64453 rows
part 1138: 64519 rows
part 1139: 64322 rows
part 1140: 64645 rows
part 1141: 64550 rows
part 1142: 64672 rows
part 1143: 64484 rows
part 1144: 64170 rows
part 1145: 64070 rows
part 1146: 63916 rows
part 1147: 64847 rows
part 1148: 64667 rows
part 1149: 65106 rows
part 1150: 64436 rows
part 1151: 64979 rows
part 1152: 64468 rows
part 1153: 64466 rows
part 1154: 64456 rows
part 1155: 64149 rows
part 1156: 64725 rows
part 1157: 63994 rows
part 1158: 64302 rows
part 1159: 64530 rows
part 1160: 64382 rows
part 1161: 64157 rows
part 1162: 64240 rows
part 1163: 64260 rows
part 1164: 64771 rows
part 1165: 64758 rows
part 1166: 64511 rows
part 1167: 64745 rows
part 1168: 64758 rows
part 1169: 64231 rows
part 1170: 64387 rows
part 1171: 64165 rows
part 1172: 64667 rows
part 1173: 64130 rows
part 1174: 64814 rows
part 1175: 64687 rows
part 1176: 64515 rows
part 1177: 64387 rows
part 1178: 64444 rows
part 1179: 64209 rows
part 1180: 64738 rows
part 1181: 64300 rows
part 1182: 64833 rows
part 1183: 64632 rows
part 1184: 64781 rows
part 1185: 64373 rows
part 1186: 64781 rows
part 1187: 64400 rows
part 1188: 64726 rows
part 1189: 64620 rows
part 1190: 64104 rows
part 1191: 64399 rows
part 1192: 64436 rows
part 1193: 64443 rows
part 1194: 64259 rows
part 1195: 64247 rows
part 1196: 64243 rows
part 1197: 64548 rows
part 1198: 64239 rows
part 1199: 64841 rows
part 1200: 64704 rows
part 1201: 64031 rows
part 1202: 64871 rows
part 1203: 64529 rows
part 1204: 64874 rows
part 1205: 64809 rows
part 1206: 64333 rows
part 1207: 64282 rows
part 1208: 64430 rows
part 1209: 64137 rows
part 1210: 64270 rows
part 1211: 64547 rows
part 1212: 64682 rows
part 1213: 64385 rows
part 1214: 64689 rows
part 1215: 64517 rows
part 1216: 64790 rows
part 1217: 64629 rows
part 1218: 64065 rows
part 1219: 64348 rows
part 1220: 64385 rows
part 1221: 64667 rows
part 1222: 64580 rows
part 1223: 64438 rows
part 1224: 64454 rows
part 1225: 64487 rows
part 1226: 65153 rows
part 1227: 64980 rows
part 1228: 64384 rows
part 1229: 64309 rows
part 1230: 64647 rows
part 1231: 64374 rows
part 1232: 64990 rows
part 1233: 64064 rows
part 1234: 64346 rows
part 1235: 64067 rows
part 1236: 64581 rows
part 1237: 64293 rows
part 1238: 64611 rows
part 1239: 64522 rows
part 1240: 64459 rows
part 1241: 64321 rows
part 1242: 64236 rows
part 1243: 64420 rows
part 1244: 64226 rows
